TITLE,A1,A2,JOURNAL,YEAR,AGE,Rank,H Count,IN PRESS,2002,2003,2004,2005,2006,2007,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TOTAL,salt,salted,GOOGLE,Cites Per Year,C+12,R+12,H+12,C+24,R+24,H+24,C+24,R+24,H+36,>100,>100+12,>100+24,>100+36,*,H
Ecosystem-scale spatial heterogeneity of stable isotopes of soil nitrogen in African savannas,"Wang, L.","Okin, GS",Landscape Ecology,2013,6,58,0,0,,,,,,,,,,,,0,3,1,3,4,1,4,0,0,16,0.7,16.7,16,2.7,19,61,0,21,64,0,24,63,0,0,0,0,0,0,0
A generalized computer vision approach to mapping crop fields in heterogeneous agricultural landscapes,"Debats, SR","Dee, L.",Remote Sensing of Environment,2016,3,59,0,,,,,,,,,,,,,,,,,0,4,6,5,0,15,0.3,15.3,19,5.0,20,58,0,25,56,0,30,53,0,0,0,0,0,0,0
Deriving vegetation phenological time and trajectory information over Africa using SEVIRI daily LAI,"Guan, K.","Medvigy, D.",IEEE Transactions on Geoscience and Remote Sensing,2014,5,60,0,0,,,,,,,,,,,,,0,2,1,3,3,5,1,0,15,0.7,15.7,18,3.0,18,64,0,21,65,0,24,64,0,0,0,0,0,0,0
Continental-scale impacts of intra-seasonal rainfall variability on simulated ecosystem responses in Africa,"Guan, K.","Good, S.P.",Biogeosciences,2014,5,61,0,,,,,,,,,,,,,,,0,2,1,2,5,5,0,15,0.6,15.6,17,3.0,18,64,0,21,65,0,24,64,0,0,0,0,0,0,0
Nutrient limitation on above-ground grass production in four savanna types along the Kalahari Transect,"Ries-O’Halloran, L","Shugart, HH",Journal of Arid Environments,2010,9,62,0,0,,,,,,,,,,0,1,2,1,0,4,1,1,1,3,1,15,0.7,15.7,16,1.7,17,67,0,18,69,0,20,70,0,0,0,0,0,0,0
Dominant role of plant physiology in trend and variability of gross primary productivity in North America,"Zhou, S.","Zhang, Z.",Scientific Reports,2017,2,63,0,,,,,,,,,,,,,,,,,,5,1,8,0,14,0.1,14.1,8,7.0,21,57,0,28,50,0,35,43,0,0,0,0,0,0,0
Explaining inter-annual variability of gross primary productivity from plant phenology and physiology,"Zhou, S.","Zhang, Z.",Agriculture & Forest Meteorology,2016,3,64,0,,,,,,,,,,,,,,,,,0,3,5,6,0,14,0.4,14.4,11,4.7,19,61,0,23,60,0,28,55,0,0,0,0,0,0,0
Comparison of multi-level water use efficiency between plastic film partially mulched and non-mulched croplands at eastern Loess Plateau of China,"Gong, D.","Mei, X.",Agricultural Water Management,2017,2,65,0,,,,,,,,,,,,,,,,,,4,5,4,0,13,0.9,13.9,9,6.5,20,59,0,26,53,0,33,50,0,0,0,0,0,0,0
"A platform for crowdsourcing the creation of representative, accurate landcover maps","Estes, L","McRitchie, D.",Environmental Modelling & Software,2016,3,66,0,,,,,,,,,,,,,,,,,1,2,6,5,0,14,0.2,14.2,17,4.7,19,61,0,23,60,0,28,55,0,0,0,0,0,0,0
On The Vulnerability of Water Limited Ecosystems to Climate Change,"Manfreda, S.","Caylor, K.K.",Water,2013,6,67,0,0,,,,,,,,,,,,,1,1,3,1,4,2,1,0,13,0.3,13.3,18,2.2,15,70,0,17,71,0,20,72,0,0,0,0,0,0,0
Carbon stable isotopes suggest that hippopotamus-vectored nutrients subsidize aquatic consumers in an East African river,"McCauley, D.J.","Dawson, T",Ecosphere,2015,4,68,0,,,,,,,,,,,,,,,,,3,2,6,2,0,13,0.8,13.8,17,3.3,16,69,0,20,68,0,23,67,0,0,0,0,0,0,0
Characterizing ecohydrological and biogeochemical connectivity across multiple scales: a new conceptual framework,"Wang, L.","Zou, C.",Ecohydrology,2012,7,69,0,0,,,,,,,,,,,,4,0,1,1,1,3,2,0,0,12,0.0,12.0,17,1.7,14,72,0,15,72,0,17,73,0,0,0,0,0,0,0
Metabolic principles of river basin organization,"Rodriguez-Iturbe, I","Caylor, K.K.",Proceedings of the National Academy of Sciences,2011,8,70,0,0,,,,,,,,,,,0,2,3,2,1,2,1,1,0,0,12,0.3,12.3,21,1.5,14,73,0,15,73,0,17,74,0,0,0,0,0,0,0
Comparison of ET partitioning and crop coefficients between partial plastic mulched and non -mulched maize fields,"Gong, D.","Mei, X.",Agricultural Water Management,2017,2,71,0,,,,,,,,,,,,,,,,,,2,5,4,0,11,0.3,11.3,10,5.5,17,68,0,22,63,0,28,58,0,0,0,0,0,0,0
"Global patterns of the contributions of storm frequency, intensity, and seasonality to inter-annual variability of precipitation","Good, S.P.","Guan, K.",Journal of Climate,2016,3,72,0,,,,,,,,,,,,,,,,,0,4,4,3,0,11,0.9,11.9,13,3.7,15,71,0,18,69,0,22,68,0,0,0,0,0,0,0
A temporally explicit Production Efficiency Model for fuel load allocation in southern Africa,"Hely, C","Caylor, K.K.",Ecosystems,2007,12,73,0,0,,,,,,0,,0,1,2,1,1,3,1,0,1,1,0,0,0,11,0.6,11.6,17,0.9,12,74,0,13,77,0,14,78,0,0,0,0,0,0,0
Release of gaseous and particulate carbonaceous compounds from biomass burning during the SAFARI 2000 dry season field campaign,"Hely, C","Caylor, K.K.",JGR - Atmospheres,2003,16,74,0,0,,1,2,3,0,2,,2,1,0,0,0,0,0,0,0,0,0,0,0,11,0.5,11.5,17,0.7,12,75,0,12,79,0,13,79,0,0,0,0,0,0,0
Soil organic C and total N pools in the Kalahari: potential impacts of climate change on C sequestration in savannas,"Dintwe, K.","Okin, GS",Plant & Soil,2015,4,75,0,,,,,,,,,,,,,,,,0,1,1,5,1,1,9,0.3,9.3,13,2.3,11,76,0,14,75,0,16,76,0,0,0,0,0,0,0
"Changing water availability during the Arican maize-growing season, 1979-2010","Estes, L","Chaney, N.",Environmental Research Letters,2014,5,76,0,,,,,,,,,,,,,,,0,0,3,2,1,3,0,9,0.7,9.7,13,1.8,11,77,0,13,78,0,14,77,0,0,0,0,0,0,0
"Ecohydrological interactions in a two-phase mosaic dryland: implications for regime shifts, resilience, and restoration","King, E.G.","Franz, TE",Ecohydrology,2012,7,77,0,0,,,,,,,,,,,,1,1,2,1,1,1,2,0,0,9,0.4,9.4,17,1.3,10,79,0,12,80,0,13,80,0,0,0,0,0,0,0
A model-based evaluation of woody plant encroachment impacts on coupled carbon and water cycles,"O’Donnell, FC","Caylor, K.K.",JGR - Biogeosciences,2012,7,78,0,0,,,,,,,,,,,,0,1,1,2,1,0,1,3,0,9,0.9,9.9,10,1.3,10,79,0,12,80,0,13,80,0,0,0,0,0,0,0
"A large‐area, spatially continuous assessment of land cover map error and its impact on downstream analyses","Estes, L.","Chen, P.",Global Change Biology,2018,1,79,0,,,,,,,,,,,,,,,,,,,2,7,0,9,0.5,9.5,5,9.0,18,64,0,27,51,0,36,40,0,0,0,0,0,0,0
"Reconciling agriculture, carbon and biodiversity in a savanna transformation frontier","Estes, L.","Searchinger, T.",Philosophical Transactions of the Royal Society B - Biological Sciences,2016,3,80,0,,,,,,,,,,,,,,,,,1,1,4,2,0,8,0.1,8.1,8,2.7,11,78,0,13,76,0,16,75,0,0,0,0,0,0,0
Pattern and process in savanna ecosystems,"Caylor, K.K.","Shugart, HH",Book Chapter,2006,13,81,0,,,,,,,,,1,5,0,0,0,0,1,0,0,0,0,0,0,7,0.2,7.2,,0.5,8,82,0,8,88,0,9,90,0,0,0,0,0,0,0
